,City,Price,Area,Location,NoofBedrooms,LiftAvailable,Resale
109,Banglore,4000000,1005,Electronics City,2,0,0
110,Banglore,5400000,1200,Chikkalasandra,2,0,1
111,Banglore,8784000,1279,Kogilu,2,1,0
112,Banglore,7900000,1180,Nayandahalli,2,1,0
113,Banglore,4781000,1310,Electronic City Phase 2,3,1,0
114,Banglore,15000000,1776,Bilekahalli,3,1,0
115,Banglore,4700000,1125,Horamavu,2,1,0
116,Banglore,7767000,1195,Muneshwara Nagar,3,1,0
117,Banglore,6487000,1272,Thanisandra,2,1,0
118,Banglore,14000000,2170,Junnasandra,3,1,0
119,Banglore,8758000,1510,RR Nagar,3,0,0
120,Banglore,13100000,1846,Narayanapura on Hennur Main Road,3,0,0
121,Banglore,5500000,1170,Kothanur,2,0,0
122,Banglore,4900000,1215,Kadugodi Industrial Area,2,0,0
123,Banglore,4545000,1045,Horamavu,2,1,0
124,Banglore,8779000,1245,Kannur on Thanisandra Main Road,2,1,0
125,Banglore,22000000,1833,ITPL,3,1,0
126,Banglore,5329000,969,Sarjapur Road Wipro To Railway Crossing,2,0,0
127,Banglore,7500000,1100,RMV Extension Stage 2,2,1,1
128,Banglore,3779999,900,Kudlu,2,1,0
129,Banglore,8954000,1216,Varthur,2,1,0
130,Banglore,9000000,1306,Talaghattapura,2,1,1
131,Banglore,25800000,1866,Koramangala,3,1,0
132,Banglore,8954000,1216,Varthur,2,1,0
133,Banglore,13100000,1846,Narayanapura on Hennur Main Road,3,0,0
134,Banglore,8218000,1505,Electronic City Phase 2,3,1,0
135,Banglore,8656000,1502,Jakkur,3,1,0
136,Banglore,7520000,1675,Doddanekundi,3,1,0
137,Banglore,6148000,1083,Kumbalgodu,3,1,0
138,Banglore,11000000,1805,Begur,3,1,0
139,Banglore,11399999,1880,Begur,3,1,0
140,Banglore,13000000,2180,Begur,4,1,0
141,Banglore,11299999,1850,Begur,3,1,0
142,Banglore,4900000,1188,Kannur on Thanisandra Main Road,2,1,0
143,Banglore,5002000,1215,Kannur on Thanisandra Main Road,2,1,0
144,Banglore,5036000,1224,Kannur on Thanisandra Main Road,2,1,0
145,Banglore,6736000,1350,Doddanekundi,2,1,0
146,Banglore,8233000,1650,Doddanekundi,3,1,0
147,Banglore,6761000,1355,Doddanekundi,3,1,0
